"","precision","recall","fmeasure","nb_obs","num_voters","num_workers","ratio"
"10125",0.933333333333333,0.0736842105263158,0.136585365853659,15,7,9,"(0.6,0.8]"
"10126",0.9,0.142105263157895,0.245454545454545,30,7,9,"(0.6,0.8]"
"10127",0.875,0.0368421052631579,0.0707070707070707,8,7,9,"(0.6,0.8]"
"10128",0.75,0.0315789473684211,0.0606060606060606,8,7,9,"(0.6,0.8]"
"10129",0.928571428571429,0.068421052631579,0.127450980392157,14,7,9,"(0.6,0.8]"
"10130",0.846153846153846,0.0578947368421053,0.108374384236453,13,7,9,"(0.6,0.8]"
"10131",0.928571428571429,0.068421052631579,0.127450980392157,14,7,9,"(0.6,0.8]"
"10132",0.833333333333333,0.0526315789473684,0.099009900990099,12,7,9,"(0.6,0.8]"
"10133",0.909090909090909,0.0526315789473684,0.099502487562189,11,7,9,"(0.6,0.8]"
"10134",1,0.0263157894736842,0.0512820512820513,5,7,9,"(0.6,0.8]"
"10135",0.692307692307692,0.0473684210526316,0.0886699507389163,13,7,9,"(0.6,0.8]"
"10136",0.8,0.0421052631578947,0.08,10,7,9,"(0.6,0.8]"
"10137",0.863636363636364,0.1,0.179245283018868,22,7,9,"(0.6,0.8]"
"10138",0.828571428571429,0.152631578947368,0.257777777777778,35,7,9,"(0.6,0.8]"
"10139",0.888888888888889,0.0421052631578947,0.0804020100502512,9,7,9,"(0.6,0.8]"
"10140",1,0.068421052631579,0.128078817733990,13,7,9,"(0.6,0.8]"
"10141",0.88235294117647,0.0789473684210526,0.144927536231884,17,7,9,"(0.6,0.8]"
"10142",1,0.0894736842105263,0.164251207729469,17,7,9,"(0.6,0.8]"
"10143",0.823529411764706,0.0736842105263158,0.135265700483092,17,7,9,"(0.6,0.8]"
"10144",0.833333333333333,0.105263157894737,0.186915887850467,24,7,9,"(0.6,0.8]"
"10145",0.8,0.0421052631578947,0.08,10,7,9,"(0.6,0.8]"
"10146",0.909090909090909,0.105263157894737,0.188679245283019,22,7,9,"(0.6,0.8]"
"10147",0.789473684210526,0.0789473684210526,0.143540669856459,19,7,9,"(0.6,0.8]"
"10148",0.75,0.0473684210526316,0.0891089108910891,12,7,9,"(0.6,0.8]"
"10149",0.846153846153846,0.0578947368421053,0.108374384236453,13,7,9,"(0.6,0.8]"
"10150",0.894736842105263,0.0894736842105263,0.162679425837321,19,7,9,"(0.6,0.8]"
"10151",0.888888888888889,0.0421052631578947,0.0804020100502512,9,7,9,"(0.6,0.8]"
"10152",0.952380952380952,0.105263157894737,0.189573459715640,21,7,9,"(0.6,0.8]"
"10153",1,0.0368421052631579,0.0710659898477157,7,7,9,"(0.6,0.8]"
"10154",0.833333333333333,0.0263157894736842,0.0510204081632653,6,7,9,"(0.6,0.8]"
"10155",1,0.0736842105263158,0.137254901960784,14,7,9,"(0.6,0.8]"
"10156",0.857142857142857,0.0315789473684211,0.0609137055837563,7,7,9,"(0.6,0.8]"
"10157",0.952380952380952,0.105263157894737,0.189573459715640,21,7,9,"(0.6,0.8]"
"10158",0.846153846153846,0.0578947368421053,0.108374384236453,13,7,9,"(0.6,0.8]"
"10159",0.88235294117647,0.0789473684210526,0.144927536231884,17,7,9,"(0.6,0.8]"
"10160",0.892857142857143,0.131578947368421,0.229357798165138,28,7,9,"(0.6,0.8]"
"10161",0.8,0.0842105263157895,0.152380952380952,20,7,9,"(0.6,0.8]"
"10162",0.818181818181818,0.0947368421052632,0.169811320754717,22,7,9,"(0.6,0.8]"
"10163",0.866666666666667,0.068421052631579,0.126829268292683,15,7,9,"(0.6,0.8]"
"10164",0.8,0.0421052631578947,0.08,10,7,9,"(0.6,0.8]"
"10165",1,0.0736842105263158,0.137254901960784,14,7,9,"(0.6,0.8]"
"10166",0.8125,0.068421052631579,0.126213592233010,16,7,9,"(0.6,0.8]"
"10167",0.947368421052632,0.0947368421052632,0.172248803827751,19,7,9,"(0.6,0.8]"
"10168",0.909090909090909,0.0526315789473684,0.099502487562189,11,7,9,"(0.6,0.8]"
"10169",1,0.0210526315789474,0.0412371134020619,4,7,9,"(0.6,0.8]"
"10170",0.821428571428571,0.121052631578947,0.211009174311927,28,7,9,"(0.6,0.8]"
"10171",0.857142857142857,0.0631578947368421,0.117647058823529,14,7,9,"(0.6,0.8]"
"10172",0.866666666666667,0.068421052631579,0.126829268292683,15,7,9,"(0.6,0.8]"
"10173",0.6,0.0315789473684211,0.06,10,7,9,"(0.6,0.8]"
"10174",0.833333333333333,0.0526315789473684,0.099009900990099,12,7,9,"(0.6,0.8]"
"10175",0.8,0.0210526315789474,0.041025641025641,5,7,9,"(0.6,0.8]"
"10176",0.75,0.0157894736842105,0.0309278350515464,4,7,9,"(0.6,0.8]"
"10177",0.818181818181818,0.0473684210526316,0.0895522388059701,11,7,9,"(0.6,0.8]"
"10178",0.875,0.147368421052632,0.252252252252252,32,7,9,"(0.6,0.8]"
"10179",0.9,0.0473684210526316,0.09,10,7,9,"(0.6,0.8]"
"10180",0.769230769230769,0.0526315789473684,0.0985221674876847,13,7,9,"(0.6,0.8]"
"10181",0.923076923076923,0.0631578947368421,0.118226600985222,13,7,9,"(0.6,0.8]"
"10182",0.818181818181818,0.0473684210526316,0.0895522388059701,11,7,9,"(0.6,0.8]"
"10183",0.833333333333333,0.105263157894737,0.186915887850467,24,7,9,"(0.6,0.8]"
