"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"4971",4971,0.893491124260355,0.825136612021858,0.857954545454545,169,1,3,0.01,0.005
"4972",4972,0.937888198757764,0.825136612021858,0.877906976744186,161,1,3,0.01,0.005
"4973",4973,0.925,0.808743169398907,0.862973760932945,160,1,3,0.01,0.005
"4974",4974,0.946745562130177,0.87431693989071,0.909090909090909,169,1,3,0.01,0.005
"4975",4975,0.907608695652174,0.912568306010929,0.91008174386921,184,1,3,0.01,0.005
"4976",4976,0.93142857142857,0.890710382513661,0.910614525139665,175,1,3,0.01,0.005
"4977",4977,0.955974842767296,0.830601092896175,0.888888888888889,159,1,3,0.01,0.005
"4978",4978,0.96987951807229,0.879781420765027,0.922636103151862,166,1,3,0.01,0.005
"4979",4979,0.965986394557823,0.775956284153005,0.86060606060606,147,1,3,0.01,0.005
"4980",4980,0.938356164383562,0.748633879781421,0.832826747720365,146,1,3,0.01,0.005
"4981",4981,0.964071856287425,0.879781420765027,0.92,167,1,3,0.01,0.005
"4982",4982,0.911111111111111,0.896174863387978,0.90358126721763,180,1,3,0.01,0.005
"4983",4983,0.974683544303797,0.841530054644809,0.903225806451613,158,1,3,0.01,0.005
"4984",4984,0.896341463414634,0.80327868852459,0.847262247838617,164,1,3,0.01,0.005
"4985",4985,0.764397905759162,0.797814207650273,0.780748663101604,191,1,3,0.01,0.005
"4986",4986,0.910614525139665,0.890710382513661,0.900552486187845,179,1,3,0.01,0.005
"4987",4987,0.852760736196319,0.759562841530055,0.803468208092486,163,1,3,0.01,0.005
